log_id,scooter_id,maintenance_date,issue_type,cost_usd,technician_id
LOG00060,SC0121,2024-11-05T14:07:34,frame_damage,432.42,TECH08
LOG00061,SC0042,2024-04-09T18:52:20,frame_damage,786.04,TECH08
LOG00062,SC0054,2025-05-07T15:59:17,motor_issue,237.55,TECH08
LOG00063,SC0117,2025-01-29T08:54:31,motor_issue,346.46,TECH11
LOG00064,SC0161,2025-05-20T19:29:00,motor_issue,-137.85,TECH17
LOG00065,SC0141,2025-10-30T00:00:00,brake_repair,197.16,TECH18
LOG00066,SC0289,2024-05-27T19:43:53,throttle_repair,612.27,TECH19
LOG00067,SC0142,2024-12-07T09:38:35,tire_puncture,306.83,TECH15
LOG00068,SC0163,2024-07-31T12:44:35,frame_damage,662.4,TECH18
LOG00069,SC0103,2024-10-14T18:01:24,general_service,594.19,TECH06
LOG00070,SC0118,2025-04-17T13:21:26,frame_damage,290.82,TECH01
LOG00071,SC0189,2025-01-17T08:37:45,brake_repair,504.84,TECH15
LOG00072,SC0095,2025-08-28T00:00:00,software_update,790.95,TECH03
LOG00073,SC0118,2024-04-09T09:24:11,throttle_repair,184.83,TECH14
LOG00074,SC0196,2025-05-29T18:41:52,tire_puncture,215.83,TECH08
LOG00075,SC0015,2024-03-19T07:51:44,brake_repair,238.96,TECH16
LOG00076,SC0095,2024-05-27T18:36:04,general_service,775.86,TECH09
LOG00077,SC0002,2025-01-03T13:52:12,general_service,608.79,TECH04
LOG00078,SC0187,2024-09-19T20:25:13,software_update,383.73,TECH08
LOG00079,SC0006,2024-12-29T23:55:00,frame_damage,511.69,TECH12
LOG00080,SC0098,2024-10-23T08:14:54,general_service,173.9,TECH15
LOG00081,SC0109,2024-08-27T16:03:25,tire_puncture,439.27,TECH12
LOG00082,SC0020,2025-04-11T22:07:23,frame_damage,482.61,TECH10
LOG00083,SC0050,2024-03-02T04:38:59,battery_replacement,89.02,TECH17
LOG00084,SC0182,2024-03-11T08:09:06,motor_issue,788.1,TECH18
LOG00085,SC0172,2025-08-13T00:00:00,brake_repair,141.04,TECH17
LOG00086,SC0042,2024-08-21T07:51:23,software_update,470.0,TECH17
LOG00087,SC0197,2024-06-11T12:38:32,battery_replacement,680.6,TECH15
LOG00088,SC0057,2025-06-30T18:38:14,battery_replacement,525.4,TECH04
LOG00089,SC0051,2025-01-01T17:21:13,throttle_repair,653.67,TECH06
LOG00090,SC0183,2025-01-17T17:32:00,tire_puncture,-261.95,TECH18
LOG00091,SC0149,2024-11-21T16:23:20,brake_repair,492.45,TECH05
LOG00092,SC0044,2024-02-17T07:01:31,throttle_repair,-426.51,TECH13
LOG00093,SC0185,2024-05-01T17:17:32,tire_puncture,-551.21,TECH17
LOG00094,SC0189,2024-05-09T22:05:02,general_service,425.14,TECH09
LOG00095,SC0086,2025-01-27T19:06:01,frame_damage,695.86,TECH12
LOG00096,SC0068,2024-07-05T09:59:55,throttle_repair,327.15,TECH09
LOG00097,SC0156,2024-07-07T07:07:35,display_fault,691.48,TECH18
LOG00098,SC0052,2025-05-30T06:05:29,frame_damage,401.82,TECH15
LOG00099,SC0102,2025-05-26T17:06:35,software_update,602.78,TECH08
LOG00100,SC0093,2025-06-03T19:38:14,frame_damage,701.97,TECH13
LOG00101,SC0010,2025-05-05T00:24:52,motor_issue,332.54,TECH09
LOG00102,SC0033,2024-12-05T17:12:01,software_update,502.6,TECH15
LOG00103,SC0141,2024-01-04T08:05:40,frame_damage,370.01,TECH04
LOG00104,SC0296,2025-01-01T07:36:11,general_service,658.99,TECH03
LOG00105,SC0035,2024-02-25T18:18:45,brake_repair,92.17,TECH15
LOG00106,SC0132,2024-08-10T07:33:07,display_fault,214.49,TECH17
LOG00107,SC0127,2024-01-03T12:14:30,display_fault,280.18,TECH07
LOG00108,SC0106,2025-09-05T00:00:00,throttle_repair,91.05,TECH01
LOG00109,SC0064,2024-10-12T15:37:20,software_update,761.1,TECH18
LOG00110,SC0073,2024-03-10T20:35:25,software_update,548.38,TECH08
LOG00111,SC0119,2024-10-29T07:10:11,throttle_repair,468.1,TECH03
LOG00112,SC0106,2024-07-16T11:25:01,tire_puncture,192.29,TECH03
LOG00113,SC0036,2025-06-27T16:05:34,software_update,480.49,TECH12
LOG00114,SC0152,2025-10-06T00:00:00,tire_puncture,54.99,TECH01
LOG00115,SC0023,2024-06-12T15:21:24,tire_puncture,248.42,TECH08
LOG00116,SC0091,2024-07-03T18:10:11,brake_repair,427.36,TECH09
LOG00117,SC0142,2024-01-25T07:19:41,battery_replacement,732.54,TECH13
LOG00118,SC0049,2024-08-01T14:18:01,motor_issue,760.83,TECH01
LOG00119,SC0003,2024-10-24T16:51:38,tire_puncture,611.23,TECH11
LOG00120,SC0160,2024-11-28T16:23:22,general_service,509.82,TECH03
LOG00121,SC0130,2024-11-12T17:35:48,battery_replacement,329.44,TECH01
LOG00122,SC0122,2024-10-08T10:36:04,general_service,356.96,TECH10
LOG00123,SC0027,2024-10-31T18:43:30,tire_puncture,283.07,TECH12
LOG00124,SC0034,2024-03-18T08:01:48,motor_issue,57.84,TECH15
LOG00125,SC0180,2024-10-24T09:33:09,frame_damage,387.57,TECH06
LOG00126,SC0163,2024-03-07T17:07:58,motor_issue,501.78,TECH14
LOG00127,SC0130,2024-04-12T08:36:26,frame_damage,409.8,TECH03
LOG00128,SC0012,2024-03-09T07:35:16,motor_issue,742.67,TECH01
LOG00129,SC0071,2024-08-06T18:24:35,tire_puncture,-653.72,TECH09
LOG00130,SC0024,2024-11-22T14:53:02,general_service,783.42,TECH06
LOG00131,SC0086,2025-02-20T06:55:10,software_update,318.07,TECH08
LOG00132,SC0082,2024-04-02T18:38:31,software_update,171.73,TECH03
LOG00133,SC0053,2025-06-22T14:26:37,display_fault,672.77,TECH20
LOG00134,SC0003,2025-03-26T12:09:16,tire_puncture,655.33,TECH05
LOG00135,SC0051,2024-05-22T06:42:24,brake_repair,115.5,TECH04
LOG00136,SC0145,2024-11-18T13:42:12,throttle_repair,60.27,TECH02
LOG00137,SC0270,2024-04-19T09:33:06,software_update,650.11,TECH17
LOG00138,SC0033,2024-05-05T12:50:09,brake_repair,588.42,TECH09
LOG00139,SC0067,2025-06-12T12:50:06,battery_replacement,171.2,TECH15
LOG00140,SC0085,2025-03-03T07:50:09,brake_repair,295.59,TECH04
LOG00141,SC0119,2024-08-07T17:44:28,throttle_repair,-758.52,TECH12
LOG00142,SC0187,2024-10-30T13:32:26,battery_replacement,196.28,TECH06
LOG00143,SC0052,2025-02-12T17:44:09,general_service,747.68,TECH07
LOG00144,SC0142,2024-10-20T17:50:52,display_fault,423.15,TECH02
LOG00145,SC0065,2024-08-12T09:52:22,display_fault,577.92,TECH20
LOG00146,SC0057,2025-03-21T10:49:14,battery_replacement,469.13,TECH11
LOG00147,SC0015,2025-12-19T00:00:00,frame_damage,82.71,TECH10
LOG00148,SC0106,2024-10-09T17:33:48,throttle_repair,629.54,TECH04
LOG00149,SC0028,2024-01-16T19:36:46,throttle_repair,-143.74,TECH19
LOG00150,SC0013,2025-04-26T08:01:06,general_service,354.34,TECH11
LOG00151,SC0123,2024-08-06T18:22:44,display_fault,674.42,TECH17
LOG00152,SC0145,2024-08-11T15:01:16,throttle_repair,791.03,TECH04
LOG00153,SC0084,2024-05-14T22:20:32,battery_replacement,475.42,TECH20
LOG00154,SC0161,2024-12-19T17:08:52,brake_repair,68.73,TECH11
LOG00155,SC0119,2024-01-31T18:56:56,display_fault,-485.41,TECH13
LOG00156,SC0087,2025-05-03T16:31:22,motor_issue,269.68,TECH01
LOG00157,SC0119,2024-06-28T20:13:37,general_service,387.41,TECH10
LOG00158,SC0176,2024-10-21T06:43:18,general_service,690.07,TECH16
LOG00159,SC0119,2024-11-14T10:39:07,tire_puncture,181.27,TECH03
LOG00160,SC0258,2025-05-26T18:16:46,tire_puncture,588.72,TECH02
LOG00161,SC0292,2025-03-12T19:56:16,frame_damage,784.25,TECH16
LOG00162,SC0146,2024-11-25T14:08:46,display_fault,448.11,TECH14
LOG00163,SC0186,2025-02-21T18:17:53,battery_replacement,421.96,TECH17
LOG00164,SC0069,2024-07-10T10:30:02,brake_repair,88.3,TECH03
LOG00165,SC0191,2025-04-30T08:04:45,brake_repair,403.77,TECH08
LOG00166,SC0044,2025-03-20T15:37:59,software_update,273.97,TECH01
LOG00167,SC0014,2024-08-09T12:17:00,motor_issue,416.77,TECH13
LOG00168,SC0119,2024-08-30T06:53:23,frame_damage,82.98,TECH09
LOG00169,SC0020,2024-08-12T16:44:36,general_service,647.26,TECH14
LOG00170,SC0154,2024-01-30T18:19:10,brake_repair,196.22,TECH18
LOG00171,SC0029,2025-03-10T21:39:27,general_service,535.16,TECH13
LOG00172,SC0298,2024-08-10T08:36:49,software_update,388.94,TECH19
LOG00173,SC0296,2025-05-13T14:59:18,frame_damage,644.92,TECH02
LOG00174,SC0064,2024-09-12T08:46:13,general_service,82.8,TECH05
LOG00175,SC0183,2024-07-05T05:15:43,general_service,730.1,TECH13
LOG00176,SC0156,2024-10-17T08:48:12,battery_replacement,611.54,TECH05
LOG00177,SC0130,2024-03-30T17:26:11,brake_repair,593.58,TECH05
LOG00178,SC0179,2024-08-31T09:43:28,throttle_repair,426.1,TECH13
LOG00179,SC0041,2024-10-29T07:55:25,motor_issue,712.62,TECH11
LOG00180,SC0067,2024-04-13T18:13:34,display_fault,496.56,TECH14
LOG00181,SC0023,2025-06-07T07:55:13,motor_issue,760.28,TECH04
LOG00182,SC0010,2024-01-03T16:12:49,brake_repair,753.6,TECH06
LOG00183,SC0078,2025-04-22T10:18:52,software_update,337.59,TECH09
LOG00184,SC0031,2024-04-15T07:44:13,tire_puncture,319.18,TECH12
LOG00185,SC0093,2024-12-16T06:07:18,frame_damage,522.81,TECH09
LOG00186,SC0138,2025-05-13T09:32:17,battery_replacement,390.63,TECH13
LOG00187,SC0034,2024-03-14T16:47:52,general_service,698.75,TECH10
LOG00188,SC0174,2025-06-11T07:04:47,tire_puncture,67.08,TECH18
LOG00189,SC0061,2024-11-21T08:44:24,display_fault,249.77,TECH20
LOG00190,SC0081,2024-05-17T07:49:47,display_fault,451.49,TECH11
LOG00191,SC0174,2025-02-08T06:16:04,software_update,168.75,TECH10
LOG00192,SC0073,2025-08-12T00:00:00,battery_replacement,173.3,TECH17
LOG00193,SC0031,2024-04-27T05:00:37,frame_damage,733.37,TECH12
LOG00194,SC0182,2024-09-25T18:12:19,software_update,257.05,TECH04
LOG00195,SC0123,2025-02-10T13:45:02,general_service,519.94,TECH11
LOG00196,SC0106,2024-06-08T13:26:37,software_update,205.12,TECH15
LOG00197,SC0076,2025-05-01T17:47:58,general_service,287.19,TECH09
LOG00198,SC0137,2024-04-14T05:40:53,battery_replacement,168.34,TECH19
LOG00199,SC0036,2024-02-08T17:28:32,general_service,722.4,TECH12
LOG00200,SC0279,2024-11-02T13:03:19,throttle_repair,417.9,TECH19
LOG00201,SC0286,2024-07-02T12:02:49,frame_damage,743.47,TECH16
LOG00202,SC0177,2025-06-03T17:31:48,brake_repair,599.95,TECH15
LOG00203,SC0067,2025-01-08T08:16:23,display_fault,425.13,TECH08
LOG00204,SC0120,2024-06-03T08:26:16,general_service,395.7,TECH15
LOG00205,SC0038,2024-09-23T07:46:53,motor_issue,257.53,TECH18
LOG00206,SC0119,2025-03-14T21:07:10,throttle_repair,219.14,TECH10
LOG00207,SC0160,2024-06-04T17:55:19,general_service,362.62,TECH08
LOG00208,SC0150,2024-04-23T07:26:38,general_service,120.8,TECH03
LOG00209,SC0106,2024-04-01T12:02:31,general_service,756.74,TECH12
LOG00210,SC0067,2025-04-19T19:18:34,general_service,368.7,TECH07
LOG00211,SC0102,2025-02-12T12:24:11,brake_repair,166.97,TECH04
LOG00212,SC0102,2025-03-02T14:36:59,brake_repair,455.21,TECH03
LOG00213,SC0071,2024-05-13T14:11:09,general_service,362.74,TECH16
LOG00214,SC0252,2024-02-08T21:24:49,frame_damage,537.54,TECH02
LOG00215,SC0006,2024-07-19T10:03:39,brake_repair,50.74,TECH12
LOG00216,SC0189,2024-12-09T18:58:59,throttle_repair,741.54,TECH11
LOG00217,SC0161,2025-04-27T12:17:50,general_service,297.21,TECH05
LOG00218,SC0055,2025-05-14T07:43:00,throttle_repair,138.49,TECH11
LOG00219,SC0149,2024-08-07T07:41:46,tire_puncture,254.67,TECH20
LOG00220,SC0154,2025-03-06T18:18:58,motor_issue,137.52,TECH08
LOG00221,SC0115,2024-12-08T10:03:51,software_update,539.19,TECH04
LOG00222,SC0157,2025-05-05T19:32:17,display_fault,505.17,TECH03
LOG00223,SC0112,2025-05-30T22:39:12,motor_issue,797.98,TECH01
LOG00224,SC0066,2025-01-19T11:40:24,tire_puncture,211.62,TECH15
LOG00225,SC0041,2025-05-27T19:10:34,brake_repair,635.78,TECH17
LOG00226,SC0193,2024-06-28T00:01:50,frame_damage,523.25,TECH02
LOG00227,SC0156,2024-04-27T06:04:56,battery_replacement,762.94,TECH04
LOG00228,SC0046,2025-04-15T12:05:09,software_update,113.58,TECH14
LOG00229,SC0088,2024-11-12T12:15:36,brake_repair,64.69,TECH07
LOG00230,SC0031,2024-10-14T13:46:25,frame_damage,596.86,TECH16
LOG00231,SC0108,2025-12-25T00:00:00,frame_damage,298.59,TECH03
LOG00232,SC0087,2024-05-12T14:44:51,brake_repair,140.96,TECH06
LOG00233,SC0040,2025-01-07T12:52:05,throttle_repair,515.46,TECH18
LOG00234,SC0171,2024-02-26T13:25:17,tire_puncture,564.13,TECH07
LOG00235,SC0090,2025-02-18T13:56:31,tire_puncture,103.61,TECH15
LOG00236,SC0125,2025-05-04T13:08:26,motor_issue,498.48,TECH09
LOG00237,SC0169,2024-01-29T08:05:01,throttle_repair,126.9,TECH04
LOG00238,SC0061,2024-05-02T18:10:51,frame_damage,186.78,TECH09
LOG00239,SC0154,2025-03-07T19:27:01,display_fault,-692.58,TECH03
LOG00240,SC0002,2024-06-30T17:41:37,general_service,303.74,TECH15
LOG00241,SC0129,2024-09-09T19:51:52,tire_puncture,569.46,TECH02
LOG00242,SC0181,2024-09-09T09:07:58,battery_replacement,74.63,TECH08
LOG00243,SC0084,2024-12-02T19:40:15,throttle_repair,622.6,TECH16
LOG00244,SC0182,2024-09-06T06:29:21,throttle_repair,64.14,TECH14
LOG00245,SC0098,2025-04-16T09:13:08,tire_puncture,553.64,TECH08
LOG00246,SC0133,2025-01-01T03:00:55,frame_damage,57.72,TECH15
LOG00247,SC0070,2025-05-22T15:14:10,software_update,679.45,TECH04
LOG00248,SC0071,2025-03-03T11:08:58,throttle_repair,174.83,TECH07
LOG00249,SC0132,2024-03-07T10:02:30,frame_damage,619.68,TECH07
LOG00250,SC0007,2025-01-24T14:52:29,frame_damage,227.26,TECH17
LOG00251,SC0105,2025-02-16T07:11:04,tire_puncture,440.78,TECH10
LOG00252,SC0292,2024-10-18T19:29:48,motor_issue,125.26,TECH05
LOG00253,SC0147,2025-09-08T00:00:00,tire_puncture,343.67,TECH17
LOG00254,SC0121,2024-01-24T07:36:38,software_update,709.53,TECH16
LOG00255,SC0178,2025-01-17T23:08:15,motor_issue,112.58,TECH06
LOG00256,SC0169,2024-12-31T18:55:34,software_update,546.77,TECH20
LOG00257,SC0087,2025-09-20T00:00:00,throttle_repair,-462.44,TECH20
LOG00258,SC0124,2024-08-29T21:33:53,display_fault,729.44,TECH10
LOG00259,SC0112,2024-05-15T19:44:04,display_fault,220.1,TECH02
LOG00260,SC0059,2025-04-18T09:51:18,software_update,734.24,TECH12
LOG00261,SC0177,2024-06-21T17:54:16,software_update,603.42,TECH19
LOG00262,SC0082,2025-05-29T20:04:36,throttle_repair,601.17,TECH20
LOG00263,SC0037,2024-10-09T18:45:30,brake_repair,653.84,TECH06
LOG00264,SC0152,2024-05-30T16:13:43,frame_damage,108.7,TECH16
LOG00265,SC0023,2024-04-11T19:05:52,tire_puncture,587.03,TECH14
LOG00266,SC0102,2024-02-05T18:39:07,display_fault,81.45,TECH09
LOG00267,SC0158,2024-03-24T13:40:29,display_fault,455.32,TECH14
LOG00268,SC0148,2024-06-07T01:22:10,throttle_repair,108.62,TECH18
LOG00269,SC0185,2024-01-12T19:51:28,tire_puncture,599.07,TECH03
LOG00270,SC0096,2024-04-16T17:26:13,throttle_repair,438.36,TECH07
LOG00271,SC0139,2024-05-16T08:34:07,display_fault,505.97,TECH05
LOG00272,SC0038,2024-03-19T08:21:25,software_update,210.54,TECH12
LOG00273,SC0093,2025-05-12T11:13:32,brake_repair,608.71,TECH15
LOG00274,SC0147,2025-06-11T08:59:11,general_service,277.49,TECH05
LOG00275,SC0193,2024-07-30T14:11:42,general_service,595.53,TECH08
LOG00276,SC0004,2024-02-02T23:13:54,display_fault,274.48,TECH18
LOG00277,SC0157,2024-06-24T07:44:56,display_fault,419.13,TECH17
LOG00278,SC0187,2025-06-18T09:11:57,tire_puncture,658.47,TECH05
LOG00279,SC0191,2024-07-25T13:51:00,display_fault,196.47,TECH06
LOG00280,SC0085,2025-04-25T07:26:32,motor_issue,255.11,TECH03
LOG00281,SC0065,2025-05-26T06:20:26,motor_issue,-232.63,TECH15
LOG00282,SC0091,2024-04-12T13:49:03,motor_issue,466.63,TECH19
LOG00283,SC0009,2025-04-15T08:16:09,motor_issue,151.69,TECH12
LOG00284,SC0162,2025-04-03T20:02:03,battery_replacement,308.94,TECH01
LOG00285,SC0169,2024-02-27T14:52:57,battery_replacement,575.81,TECH19
LOG00286,SC0148,2024-03-13T18:37:57,software_update,683.0,TECH18
LOG00287,SC0111,2024-04-01T17:13:16,battery_replacement,169.03,TECH07
LOG00288,SC0197,2024-05-30T07:54:00,software_update,585.05,TECH15
LOG00289,SC0095,2024-01-02T17:58:10,motor_issue,120.95,TECH05
LOG00290,SC0064,2024-09-06T06:46:55,frame_damage,354.38,TECH20
LOG00291,SC0261,2024-11-14T17:42:49,throttle_repair,260.04,TECH05
LOG00292,SC0161,2024-07-16T16:57:19,motor_issue,790.85,TECH04
LOG00293,SC0127,2025-03-11T09:47:16,tire_puncture,-247.0,TECH07
LOG00294,SC0258,2024-06-17T17:00:32,motor_issue,596.71,TECH02
LOG00295,SC0186,2024-03-23T09:49:58,brake_repair,544.51,TECH15
LOG00296,SC0006,2025-03-05T16:11:16,battery_replacement,523.51,TECH05
LOG00297,SC0151,2024-07-30T14:10:05,display_fault,743.84,TECH16
LOG00298,SC0269,2024-04-26T15:16:46,display_fault,386.63,TECH19
LOG00299,SC0179,2024-09-05T06:36:52,brake_repair,592.19,TECH12
LOG00300,SC0186,2024-08-14T09:04:02,general_service,638.27,TECH18
LOG00301,SC0046,2025-04-29T15:52:26,frame_damage,717.91,TECH14
LOG00302,SC0105,2024-10-25T15:34:00,frame_damage,104.66,TECH14
LOG00303,SC0258,2025-06-01T21:19:03,tire_puncture,511.32,TECH12
LOG00304,SC0094,2024-01-30T16:43:23,brake_repair,261.56,TECH01
LOG00305,SC0027,2024-04-23T12:01:47,tire_puncture,759.48,TECH17
LOG00306,SC0156,2024-01-03T18:30:13,display_fault,87.85,TECH09
LOG00307,SC0196,2024-10-29T07:05:10,frame_damage,796.79,TECH09
LOG00308,SC0280,2025-01-11T19:56:43,display_fault,288.06,TECH10
LOG00309,SC0141,2024-03-26T05:00:02,general_service,664.98,TECH14
LOG00310,SC0171,2024-08-29T16:29:01,frame_damage,795.51,TECH03
LOG00311,SC0037,2024-12-12T12:53:25,general_service,166.89,TECH16
LOG00312,SC0003,2025-06-28T18:56:54,throttle_repair,-617.86,TECH06
LOG00313,SC0081,2025-06-24T16:38:55,software_update,120.37,TECH17
LOG00314,SC0046,2025-04-10T08:49:37,software_update,443.74,TECH12
LOG00315,SC0199,2024-12-13T19:19:08,frame_damage,110.25,TECH16
LOG00316,SC0181,2025-03-25T21:04:42,motor_issue,69.69,TECH01
LOG00317,SC0129,2025-01-10T09:14:02,general_service,286.05,TECH03
LOG00318,SC0050,2025-01-17T11:22:59,battery_replacement,477.25,TECH16
LOG00319,SC0035,2024-06-22T20:53:19,tire_puncture,165.81,TECH06
LOG00320,SC0166,2025-03-14T13:39:29,battery_replacement,508.67,TECH05
LOG00321,SC0162,2024-12-01T19:13:49,battery_replacement,753.52,TECH09
LOG00322,SC0105,2024-10-08T12:52:35,general_service,168.74,TECH14
LOG00323,SC0104,2024-12-18T19:18:38,software_update,-463.62,TECH16
LOG00324,SC0194,2025-01-07T07:07:44,software_update,383.99,TECH09
LOG00325,SC0031,2024-01-24T10:12:59,display_fault,454.59,TECH13
LOG00326,SC0168,2024-10-21T07:36:22,brake_repair,423.63,TECH18
LOG00327,SC0110,2024-01-22T11:36:39,brake_repair,198.69,TECH15
LOG00328,SC0052,2025-04-26T10:50:45,general_service,208.27,TECH15
LOG00329,SC0084,2025-03-03T12:03:29,battery_replacement,636.15,TECH08
LOG00330,SC0121,2024-03-14T09:38:39,display_fault,421.46,TECH11
LOG00331,SC0182,2024-06-28T09:42:18,software_update,564.23,TECH12
LOG00332,SC0149,2025-01-16T09:55:26,throttle_repair,618.58,TECH11
LOG00333,SC0156,2024-07-09T09:12:41,general_service,738.01,TECH16
LOG00334,SC0178,2024-05-06T12:20:40,motor_issue,698.8,TECH19
LOG00335,SC0090,2024-09-05T16:50:09,brake_repair,220.91,TECH14
LOG00336,SC0169,2024-04-15T21:18:24,tire_puncture,267.11,TECH01
LOG00337,SC0110,2025-02-19T14:39:59,software_update,565.25,TECH16
LOG00338,SC0002,2025-06-11T02:23:21,display_fault,-535.87,TECH08
LOG00339,SC0075,2025-04-21T13:22:41,software_update,734.92,TECH02
LOG00340,SC0016,2025-03-02T06:50:34,display_fault,657.73,TECH14
LOG00341,SC0269,2025-01-08T18:37:47,battery_replacement,283.81,TECH03
LOG00342,SC0154,2024-02-12T10:55:44,general_service,595.2,TECH07
LOG00343,SC0030,2025-08-03T00:00:00,battery_replacement,619.21,TECH13
LOG00344,SC0157,2024-03-06T17:23:05,display_fault,-124.9,TECH09
LOG00345,SC0021,2025-03-07T19:33:41,tire_puncture,737.37,TECH01
LOG00346,SC0127,2024-09-11T09:34:13,brake_repair,316.4,TECH13
LOG00347,SC0161,2024-08-15T14:44:05,motor_issue,473.44,TECH17
LOG00348,SC0141,2024-06-24T13:26:51,battery_replacement,209.79,TECH13
LOG00349,SC0263,2024-05-01T15:33:26,display_fault,56.47,TECH15
LOG00350,SC0061,2024-12-25T16:33:09,battery_replacement,629.24,TECH20
LOG00351,SC0079,2024-01-05T06:35:40,brake_repair,401.88,TECH20
LOG00352,SC0196,2025-06-23T19:16:22,display_fault,187.19,TECH14
LOG00353,SC0125,2024-06-02T14:50:06,display_fault,492.34,TECH07
LOG00354,SC0140,2024-06-28T14:49:26,brake_repair,411.61,TECH19
LOG00355,SC0105,2025-03-24T10:37:46,tire_puncture,673.07,TECH06
LOG00356,SC0007,2025-03-19T14:29:05,frame_damage,592.66,TECH16
LOG00357,SC0150,2024-05-07T16:07:36,display_fault,664.7,TECH17
LOG00358,SC0032,2024-04-30T09:56:31,display_fault,423.41,TECH13
LOG00359,SC0143,2024-08-02T18:29:01,general_service,677.05,TECH06
